fyear,cik
2020,1498382
2021,1498382
2022,1498382
2013,1498403
2014,1498403
2015,1498403
2016,1498403
2017,1498403
2018,1498403
2019,1498403
2020,1498403
2021,1498403
2022,1498403
2023,1498403
2015,1501112
2017,1501697
2018,1501697
2019,1501697
2020,1501697
2021,1501697
2022,1501697
2023,1501697
2014,1501756
2015,1501989
2012,1502777
2019,1503802
2020,1503802
2021,1503802
2022,1503802
2023,1503802
2014,1504389
2015,1504389
2016,1504389
2017,1504389
2014,1505497
2017,1505497
2018,1505497
2019,1505497
2020,1505497
2021,1505497
2023,1505497
2013,1506184
2015,1506251
2016,1506251
2017,1506251
2018,1506251
2014,1509190
2015,1509190
2013,1509261
2014,1509261
2015,1509261
2016,1509261
2017,1509261
2018,1509261
2019,1509261
2021,1509261
2022,1509261
2023,1509261
2017,1509745
2018,1509745
2016,1510964
2017,1510964
2018,1510964
2013,1512717
2014,1512717
2015,1512717
2016,1512717
2017,1512717
2018,1512717
2019,1512717
2020,1512717
2021,1512717
2022,1512717
2023,1512717
2014,1512762
2015,1512762
2018,1513525
2014,1513818
2015,1513818
2016,1513818
2017,1513818
2018,1513818
2022,1513818
2011,1514183
2012,1514183
2013,1514183
2021,1514183
2016,1515740
2017,1515740
2018,1515740
2019,1515740
2018,1516479
2021,1516551
2022,1516551
2023,1516551
2018,1517022
2019,1517022
2020,1517022
2021,1517022
2022,1517022
2023,1517022
2014,1517681
2015,1517681
2016,1517681
2017,1517681
2018,1517681
2019,1517681
2020,1517681
2021,1517681
2022,1517681
2023,1517681
2018,1520211
2011,1520262
2012,1520262
2013,1520262
2014,1520262
2018,1526119
2019,1526119
2020,1526119
2013,1527246
2014,1527246
2015,1527246
2016,1527246
2017,1527246
2018,1527246
2019,1527246
2020,1527246
2021,1527246
2015,1528172
2016,1528172
2017,1528172
2018,1528172
2019,1528172
2020,1528172
2021,1528172
2022,1528172
2012,1533040
2015,1534120
2016,1534120
2017,1534120
2018,1534120
2019,1534120
2022,1534120
2023,1534120
2020,1534133
2015,1534525
2016,1534525
2017,1534525
2019,1535955
2020,1535955
2021,1535955
2022,1535955
2023,1535955
2014,1537561
2015,1537561
2016,1537561
2017,1537561
2018,1537561
2019,1537561
2020,1537561
2021,1537561
2022,1537561
2023,1537561
2015,1537917
2016,1537917
2017,1537917
2019,1537917
2020,1537917
2021,1537917
2020,1538210
2021,1538210
2022,1538210
2014,1541157
2015,1541157
2023,1541157
2016,1543272
2017,1543272
2018,1543272
2019,1544238
2020,1544238
2012,1551152
2013,1551152
2014,1551152
2015,1551152
2016,1551152
2017,1551152
2018,1551152
2019,1551152
2020,1551152
2021,1551152
2022,1551152
2023,1551152
2018,1551986
2019,1551986
2020,1551986
2021,1551986
2022,1551986
2014,1553643
2015,1553643
2016,1553643
2017,1553643
2018,1553643
2019,1553643
2020,1553643
2014,1553846
2015,1553846
2016,1553846
2017,1553846
2018,1553846
2019,1553846
2022,1553846
2023,1553846
2013,1555280
2014,1555280
2015,1555280
2016,1555280
2017,1555280
2018,1555280
2019,1555280
2020,1555280
2021,1555280
2022,1555280
2023,1555280
2016,1557142
2017,1557142
2017,1557376
2018,1557376
2019,1557376
2013,1557421
2018,1557883
2013,1559149
2014,1559149
2017,1559356
2018,1559356
2019,1559356
2020,1559356
2021,1559356
2022,1559356
2023,1559356
2014,1561551
2015,1561551
2016,1561551
2015,1562733
2016,1562733
2017,1562733
2013,1563855
2014,1563855
2019,1563880
2020,1563880
2021,1563880
2022,1563880
2023,1563880
2017,1566044
2018,1566044
2020,1566044
2013,1567529
2014,1567529
2015,1567529
2016,1567529
2017,1567529
2018,1567529
2019,1567529
2020,1567529
2021,1567529
2022,1567529
2023,1567529
2013,1567892
2014,1567892
2015,1567892
2016,1567892
2017,1567892
2018,1567892
2014,1569329
2015,1569329
2016,1569329
2017,1569329
2018,1569329
2019,1569329
2019,1571498
2022,1571934
2023,1571934
2013,1572552
2016,1572552
2017,1572552
2021,1574094
2022,1574094
2023,1574094
2013,1574111
2015,1574235
2016,1574235
2017,1574235
2018,1574235
2013,1574565
2014,1574565
2015,1574565
2016,1574565
2017,1574565
2021,1575295
2022,1575295
2023,1575295
2013,1576263
2014,1576263
2023,1576885
2013,1578845
2014,1578845
2015,1578845
2016,1578845
2017,1578845
2018,1578845
2019,1578845
2015,1579428
2016,1579428
2017,1579428
2018,1579428
2018,1579823
2019,1579823
2020,1579823
2020,1580063
2021,1580063
2022,1580063
2023,1580063
2020,1580149
2021,1580149
2022,1580149
2023,1580149
2020,1581178
2021,1581178
2015,1581987
2016,1581987
2017,1581987
2014,1583771
2015,1583771
2016,1583771
2017,1583771
2018,1583771
2019,1583771
2020,1583771
2021,1583771
2023,1583771
2014,1585364
2015,1585364
2016,1585364
2017,1585364
2018,1585364
2019,1585364
2020,1585364
2021,1585364
2022,1585364
2023,1585364
2017,1585608
2018,1585608
2019,1585608
2021,1585608
2022,1585608
2023,1585608
2014,1585808
2015,1585808
2016,1585808
2017,1585808
2018,1585808
2015,1586105
2016,1586105
2017,1586105
2018,1586105
2019,1586105
2014,1587221
2015,1587221
2021,1587221
2013,1588172
2023,1588972
2016,1590560
2017,1590560
2018,1590560
2019,1590560
2020,1590560
2021,1590560
2022,1590560
2015,1590695
2016,1590695
2020,1590695
2021,1590695
2014,1593034
2015,1593034
2013,1593984
2014,1593984
2022,1593984
2023,1593984
2014,1594337
2015,1594337
2016,1594337
2014,1595097
2015,1595097
2020,1595097
2021,1595097
2022,1595097
2023,1595097
2013,1595380
2018,1595585
2019,1595585
2020,1595585
2021,1595585
2014,1596783
2015,1596783
2016,1596783
2017,1596783
2018,1596783
2019,1596783
2020,1596783
2021,1596783
2022,1596783
2023,1596783
2024,1596783
2018,1596812
2019,1596812
2014,1598646
2013,1598696
2014,1598696
2013,1598816
2014,1598816
2023,1600847
2020,1601485
2021,1601485
2022,1601485
2023,1601485
2023,1601830
2016,1601936
2017,1601936
2018,1601936
2019,1601936
2020,1601936
2021,1601936
2022,1601936
2023,1601936
2023,1603207
2013,1603429
2014,1603429
2019,1604950
2020,1604950
2022,1604950
2023,1604950
2013,1606012
2015,1607678
2016,1607678
2017,1607678
2018,1607678
2013,1608390
2014,1608390
2018,1609351
2023,1609809
2018,1610618
2019,1610618
2022,1610820
2023,1610820
2015,1611787
2016,1611787
2019,1611842
2020,1611842
2021,1611842
2022,1611842
2023,1611842
2022,1612042
2023,1612042
2013,1612047
2014,1612047
2020,1612940
2021,1612940
2022,1612940
2023,1612940
2013,1613723
2018,1614067
2014,1614744
2015,1614744
2016,1614744
2017,1614744
2018,1614744
2019,1614744
2020,1614744
2019,1615219
2020,1615219
2021,1615219
2022,1615219
2018,1618835
2021,1618835
2022,1618835
2023,1618835
2015,1619087
2016,1619087
2017,1619087
2021,1619856
2022,1619856
2023,1619856
2020,1620463
2021,1620463
2022,1620463
2023,1620463
2015,1620546
2021,1620737
2022,1620737
2023,1620737
2019,1621221
2020,1621221
2016,1627281
2017,1627281
2023,1627281
2023,1628171
2021,1629137
2018,1631650
2020,1633932
2021,1633932
2022,1633932
2020,1634379
2017,1634432
2018,1634432
2019,1634432
2020,1634432
2021,1636050
2023,1636282
2018,1638287
2023,1638287
2013,1638851
2014,1638851
2013,1642271
2016,1642271
2017,1642271
2019,1642375
2020,1642375
2021,1642375
2022,1642375
2023,1642375
2020,1643154
2021,1643154
2022,1643154
2016,1643848
2015,1643918
2016,1643918
2017,1643918
2019,1643918
2020,1643918
2021,1643918
2022,1643918
2023,1643918
2017,1644963
2015,1647320
2016,1647320
2017,1647320
2021,1648257
2017,1648315
2018,1648315
2019,1648315
2020,1648315
2021,1648315
2022,1648315
2023,1648315
2022,1649904
2023,1649904
2020,1649989
2020,1650648
2021,1650648
2022,1650648
2023,1650648
2015,1651308
2016,1651308
2014,1651347
2021,1651625
2016,1652499
2017,1652499
2019,1656472
2020,1656472
2021,1656472
2022,1656472
2023,1656472
2020,1657312
2021,1657312
2021,1658247
2022,1658247
2021,1658551
2020,1659323
2021,1659323
2022,1659323
2023,1659323
2017,1659617
2018,1659617
2019,1659617
2020,1659617
2021,1659617
2022,1659617
2023,1659617
2016,1660484
2016,1660719
2017,1660719
2022,1661181
2019,1662774
2020,1662774
2018,1664038
2023,1668243
2022,1668673
2023,1668673
2021,1674365
2022,1674365
2016,1674657
2017,1674657
2018,1674657
2019,1674657
2020,1674657
2019,1676047
2020,1676047
2020,1677940
2021,1677940
2022,1677940
2016,1680048
2018,1681087
2019,1681087
2017,1681689
2020,1682852
2021,1682852
2022,1682852
2023,1682852
2016,1683541
2017,1683541
2018,1683541
2019,1683541
2020,1683541
2021,1683541
2022,1683541
2023,1683541
2022,1685316
2017,1689813
2018,1689813
2019,1689813
2020,1689813
2021,1689813
2020,1690080
2021,1690080
2022,1690080
2023,1690080
2017,1690947
2018,1690947
2019,1690947
2020,1690947
2021,1690947
2022,1690947
2018,1694665
2018,1695357
2021,1695357
2022,1695357
2014,1695631
2015,1695631
2016,1695631
2017,1695631
2018,1696396
2019,1696396
2020,1696396
2021,1696396
2017,1696804
2018,1696804
2020,1696804
2021,1696804
2022,1696804
2019,1697532
2022,1698530
2017,1701108
2018,1701108
2019,1701108
2021,1701108
2022,1701108
2023,1701108
2019,1701541
2020,1701541
2018,1702123
2021,1702123
2022,1702123
2023,1702123
2017,1705843
2018,1705843
2019,1705843
2020,1705843
2021,1705843
2022,1705843
2023,1705843
2015,1706143
2016,1706143
2017,1706143
2019,1706431
2020,1706431
2021,1706431
2022,1706431
2022,1708599
2023,1708599
2018,1710340
2013,1712786
2014,1712786
2019,1714798
2018,1714899
2019,1714899
2020,1714899
2021,1714899
2016,1716567
2017,1716567
2020,1716947
2021,1716947
2022,1716947
2020,1719406
2021,1719406
2022,1719406
2023,1719406
2023,1719714
2021,1720725
2022,1720893
2023,1720893
2018,1722926
2019,1722926
2020,1722926
2021,1722926
2022,1722926
2023,1722926
2019,1723128
2020,1723128
2021,1723128
2022,1723128
2023,1723128
2016,1728215
2017,1728215
2021,1728328
2021,1729214
2022,1729214
2023,1729214
2020,1731348
2021,1731348
2022,1731348
2023,1731348
2018,1731831
2019,1731831
2017,1734005
2018,1734005
2019,1734005
2020,1734005
2021,1734005
2022,1735438
2018,1737953
2020,1738021
2018,1739104
2019,1739104
2020,1739104
2021,1739104
2022,1739104
2023,1739104
2020,1739426
2020,1739614
2021,1739614
2021,1742927
2022,1742927
2023,1742927
2019,1743881
2020,1743881
2021,1743881
2022,1743881
2023,1743881
2019,1745999
2020,1745999
2021,1745999
2022,1745999
2023,1745999
2021,1750155
2022,1750155
2023,1750155
2022,1751912
2023,1751912
2020,1752828
2020,1754195
2021,1754195
2022,1754195
2023,1754195
2020,1756594
2021,1756594
2022,1756594
2023,1756594
2022,1757499
2023,1757499
2023,1757610
2022,1759186
2023,1759186
2020,1759425
2021,1759425
2022,1759425
2023,1759425
2019,1764790
2020,1764790
2019,1764791
2020,1764791
2021,1764791
2023,1766140
2019,1766600
2020,1766600
2021,1766600
2022,1766600
2023,1766600
2019,1768946
2021,1768946
2022,1768946
2023,1768946
2021,1771706
2022,1771706
2023,1771910
2019,1771917
2020,1771917
2021,1771917
2021,1772028
2022,1772028
2022,1775194
2023,1775194
2021,1776738
2022,1776738
2023,1776738
2020,1776985
2021,1776985
2022,1776985
2023,1776985
2020,1778016
2021,1778016
2022,1778016
2023,1778016
2021,1778129
2022,1778129
2023,1778129
2022,1782107
2023,1782107
2021,1782223
2022,1782223
2020,1782594
2021,1782594
2018,1782999
2020,1783875
2021,1783875
2022,1783875
2023,1783875
2022,1785530
2023,1785530
2021,1786255
2022,1786255
2023,1787306
2020,1788028
2021,1788028
2022,1788028
2023,1788028
2022,1789769
2023,1789769
2020,1792030
2021,1792030
2022,1792030
2023,1792030
2020,1792044
2021,1792044
2022,1792044
2023,1792044
2020,1792581
2019,1795139
2019,1795579
2020,1795579
2020,1796129
2021,1796129
2022,1796129
2023,1796129
2023,1799448
2021,1799850
2019,1801834
2020,1801834
2023,1801834
2020,1802768
2021,1802768
2022,1802768
2023,1802768
2020,1805087
2021,1805087
2022,1805087
2023,1806310
2018,1806605
2019,1806605
2020,1806605
2021,1806605
2022,1806605
2023,1806605
2022,1807983
2023,1807983
2022,1808665
2023,1808665
2019,1809122
2020,1809196
2021,1809196
2020,1810182
2019,1811059
2020,1811059
2021,1811059
2022,1811059
2023,1811059
2021,1811063
2022,1811063
2023,1811063
2021,1813452
2022,1813452
2023,1813452
2021,1814140
2022,1814140
2024,1815620
2021,1815776
2020,1815903
2021,1815903
2022,1815903
2023,1815903
2022,1816736
2023,1816736
2020,1817229
2020,1817944
2021,1817944
2020,1818382
2021,1818382
2022,1818382
2023,1818382
2020,1819790
2021,1819790
2022,1819790
2023,1819790
2021,1820190
2022,1820190
2023,1820190
2021,1821825
2022,1821825
2023,1821825
2022,1822691
2020,1822791
2021,1822791
2022,1822791
2023,1822791
2020,1824293
2021,1824293
2022,1824293
2023,1824293
2021,1824893
2022,1824893
2023,1824893
2020,1826892
2021,1826892
2021,1828185
2022,1828185
2023,1828253
2018,1828316
2019,1828316
2020,1828316
2021,1828316
2022,1828316
2023,1828316
2021,1829635
2022,1829635
2020,1829802
2021,1829802
2021,1830162
2018,1832928
2019,1832928
2020,1832928
2021,1832928
2022,1832928
2023,1832928
2019,1833096
2020,1833096
2021,1833096
2022,1833096
2023,1833096
2021,1833214
2022,1833214
2023,1833214
2022,1834645
2023,1834645
2022,1836379
2019,1836564
2020,1836564
2022,1837607
2023,1837607
2021,1840233
2022,1840574
2023,1840574
2021,1840904
2022,1840904
2023,1840904
2021,1841330
2022,1841330
2023,1841330
2022,1842939
2023,1842939
2021,1843762
2022,1843762
2021,1845337
2022,1845459
2023,1845459
2020,1847409
2021,1847409
2022,1847409
2023,1847409
2019,1847462
2020,1847462
2021,1847903
2022,1847903
2021,1850838
2022,1850838
2023,1850838
2021,1851194
2022,1851194
2023,1854270
2022,1855485
2023,1855485
2022,1855644
2021,1858685
2022,1858685
2023,1858685
2021,1859007
2022,1859007
2023,1859007
2021,1860657
2022,1860657
2023,1860657
2021,1861657
2022,1861657
2021,1863362
2022,1863362
2022,1865408
2021,1867066
2021,1868734
2023,1872812
2023,1873093
2021,1873835
2022,1873835
2021,1875091
2022,1875091
2023,1875091
2022,1878313
2023,1885522
2022,1892500
2023,1892500
2022,1894562
2023,1896212
2022,1898416
2023,1898416
2021,1900304
2022,1900304
2023,1900304
2021,1904395
2022,1904395
2023,1904395
2022,1907685
2022,1909747
2023,1909747
2023,1936258
2023,1937737
2022,1937993
2023,1937993
2023,1946563
2021,1956827
2022,1956827
2023,1956827
2023,1958777
2014,1962738
2015,1962738
2016,1962738
2017,1962738
2023,1962918
2023,1966494
2023,1980845
2023,1985062
2017,1995206
2018,1995206
2019,1995206
2023,1999480
